Time,NYISO
2011-07-15 04:00:00-04:00,15551.0
2011-07-15 05:00:00-04:00,15960.0
2011-07-15 06:00:00-04:00,17034.0
2011-07-15 07:00:00-04:00,19000.0
2011-07-15 08:00:00-04:00,20836.0
2011-07-15 09:00:00-04:00,22227.0
2011-07-15 10:00:00-04:00,23431.0
2011-07-15 11:00:00-04:00,24356.0
2011-07-15 12:00:00-04:00,24876.0
2011-07-15 13:00:00-04:00,25429.0
2011-07-15 14:00:00-04:00,25742.0
2011-07-15 15:00:00-04:00,25948.0
2011-07-15 16:00:00-04:00,26073.0
2011-07-15 17:00:00-04:00,25872.0
2011-07-15 18:00:00-04:00,25017.0
2011-07-15 19:00:00-04:00,23969.0
2011-07-15 20:00:00-04:00,23172.0
2011-07-15 21:00:00-04:00,23007.0
2011-07-15 22:00:00-04:00,21777.0
2011-07-15 23:00:00-04:00,20153.0
2011-07-16 00:00:00-04:00,18677.0
2011-07-16 01:00:00-04:00,17533.0
2011-07-16 02:00:00-04:00,16700.0
2011-07-16 03:00:00-04:00,16166.0
2011-07-16 04:00:00-04:00,15890.0
2011-07-16 05:00:00-04:00,15762.0
2011-07-16 06:00:00-04:00,15897.0
2011-07-16 07:00:00-04:00,17105.0
2011-07-16 08:00:00-04:00,18797.0
2011-07-16 09:00:00-04:00,20418.0
2011-07-16 10:00:00-04:00,21952.0
2011-07-16 11:00:00-04:00,23060.0
2011-07-16 12:00:00-04:00,23766.0
2011-07-16 13:00:00-04:00,24232.0
2011-07-16 14:00:00-04:00,24552.0
2011-07-16 15:00:00-04:00,24765.0
2011-07-16 16:00:00-04:00,24966.0
2011-07-16 17:00:00-04:00,24891.0
2011-07-16 18:00:00-04:00,24515.0
2011-07-16 19:00:00-04:00,23933.0
2011-07-16 20:00:00-04:00,23429.0
2011-07-16 21:00:00-04:00,23410.0
2011-07-16 22:00:00-04:00,22349.0
2011-07-16 23:00:00-04:00,20846.0
2011-07-17 00:00:00-04:00,19325.0
2011-07-17 01:00:00-04:00,18123.0
2011-07-17 02:00:00-04:00,17224.0
2011-07-17 03:00:00-04:00,16653.0
2011-07-17 04:00:00-04:00,16318.0
2011-07-17 05:00:00-04:00,16081.0
2011-07-17 06:00:00-04:00,15989.0
2011-07-17 07:00:00-04:00,16998.0
2011-07-17 08:00:00-04:00,18613.0
2011-07-17 09:00:00-04:00,20426.0
2011-07-17 10:00:00-04:00,22116.0
2011-07-17 11:00:00-04:00,23413.0
2011-07-17 12:00:00-04:00,24305.0
2011-07-17 13:00:00-04:00,25007.0
2011-07-17 14:00:00-04:00,25528.0
2011-07-17 15:00:00-04:00,26011.0
2011-07-17 16:00:00-04:00,26402.0
2011-07-17 17:00:00-04:00,26560.0
2011-07-17 18:00:00-04:00,26281.0
2011-07-17 19:00:00-04:00,25699.0
2011-07-17 20:00:00-04:00,25284.0
2011-07-17 21:00:00-04:00,25418.0
2011-07-17 22:00:00-04:00,24254.0
2011-07-17 23:00:00-04:00,22514.0
2011-07-18 00:00:00-04:00,21031.0
2011-07-18 01:00:00-04:00,19957.0
2011-07-18 02:00:00-04:00,19156.0
2011-07-18 03:00:00-04:00,18677.0
2011-07-18 04:00:00-04:00,18638.0
2011-07-18 05:00:00-04:00,19208.0
2011-07-18 06:00:00-04:00,20444.0
2011-07-18 07:00:00-04:00,22604.0
2011-07-18 08:00:00-04:00,24559.0
2011-07-18 09:00:00-04:00,25848.0
2011-07-18 10:00:00-04:00,27073.0
2011-07-18 11:00:00-04:00,28073.0
2011-07-18 12:00:00-04:00,28946.0
2011-07-18 13:00:00-04:00,29661.0
2011-07-18 14:00:00-04:00,30019.0
2011-07-18 15:00:00-04:00,30050.0
2011-07-18 16:00:00-04:00,30027.0
2011-07-18 17:00:00-04:00,29789.0
2011-07-18 18:00:00-04:00,29065.0
2011-07-18 19:00:00-04:00,28295.0
2011-07-18 20:00:00-04:00,27764.0
2011-07-18 21:00:00-04:00,27265.0
2011-07-18 22:00:00-04:00,25562.0
2011-07-18 23:00:00-04:00,23519.0
2011-07-19 00:00:00-04:00,21633.0
2011-07-19 01:00:00-04:00,20450.0
2011-07-19 02:00:00-04:00,19610.0
2011-07-19 03:00:00-04:00,19146.0
2011-07-19 04:00:00-04:00,19067.0
2011-07-19 05:00:00-04:00,19654.0
2011-07-19 06:00:00-04:00,20860.0
2011-07-19 07:00:00-04:00,22880.0
2011-07-19 08:00:00-04:00,24777.0
2011-07-19 09:00:00-04:00,26381.0
2011-07-19 10:00:00-04:00,27854.0
2011-07-19 11:00:00-04:00,28879.0
2011-07-19 12:00:00-04:00,29381.0
2011-07-19 13:00:00-04:00,30008.0
2011-07-19 14:00:00-04:00,30176.0
2011-07-19 15:00:00-04:00,30521.0
2011-07-19 16:00:00-04:00,30510.0
2011-07-19 17:00:00-04:00,30580.0
2011-07-19 18:00:00-04:00,29795.0
2011-07-19 19:00:00-04:00,28803.0
2011-07-19 20:00:00-04:00,27996.0
2011-07-19 21:00:00-04:00,27590.0
2011-07-19 22:00:00-04:00,25722.0
2011-07-19 23:00:00-04:00,23511.0
2011-07-20 00:00:00-04:00,21631.0
2011-07-20 01:00:00-04:00,20374.0
2011-07-20 02:00:00-04:00,19434.0
2011-07-20 03:00:00-04:00,18909.0
2011-07-20 04:00:00-04:00,18773.0
2011-07-20 05:00:00-04:00,19229.0
