Time,RTO
2018-06-12 11:00:00-04:00,91754.525
2018-06-12 12:00:00-04:00,93902.837
2018-06-12 13:00:00-04:00,96023.888
2018-06-12 14:00:00-04:00,97735.917
2018-06-12 15:00:00-04:00,99143.05
2018-06-12 16:00:00-04:00,100656.99
2018-06-12 17:00:00-04:00,101492.961
2018-06-12 18:00:00-04:00,100278.028
2018-06-12 19:00:00-04:00,98107.924
2018-06-12 20:00:00-04:00,96904.717
2018-06-12 21:00:00-04:00,95803.479
2018-06-12 22:00:00-04:00,90019.739
2018-06-12 23:00:00-04:00,82862.018
2018-06-13 00:00:00-04:00,77098.526
2018-06-13 01:00:00-04:00,73386.223
2018-06-13 02:00:00-04:00,71124.32
2018-06-13 03:00:00-04:00,70007.593
2018-06-13 04:00:00-04:00,70716.918
2018-06-13 05:00:00-04:00,74339.025
2018-06-13 06:00:00-04:00,79824.725
2018-06-13 07:00:00-04:00,85736.736
2018-06-13 08:00:00-04:00,90259.418
2018-06-13 09:00:00-04:00,94174.276
2018-06-13 10:00:00-04:00,98175.359
2018-06-13 11:00:00-04:00,101769.687
2018-06-13 12:00:00-04:00,104741.94
2018-06-13 13:00:00-04:00,108273.88
2018-06-13 14:00:00-04:00,110784.837
2018-06-13 15:00:00-04:00,113254.943
2018-06-13 16:00:00-04:00,114889.344
2018-06-13 17:00:00-04:00,115680.471
2018-06-13 18:00:00-04:00,114450.048
2018-06-13 19:00:00-04:00,111878.238
2018-06-13 20:00:00-04:00,109175.311
2018-06-13 21:00:00-04:00,106429.123
2018-06-13 22:00:00-04:00,99307.286
2018-06-13 23:00:00-04:00,90738.275
2018-06-14 00:00:00-04:00,83300.064
2018-06-14 01:00:00-04:00,78106.791
2018-06-14 02:00:00-04:00,74876.89
2018-06-14 03:00:00-04:00,72700.57
2018-06-14 04:00:00-04:00,72456.94
2018-06-14 05:00:00-04:00,75024.172
2018-06-14 06:00:00-04:00,79729.174
2018-06-14 07:00:00-04:00,86089.614
2018-06-14 08:00:00-04:00,90668.837
2018-06-14 09:00:00-04:00,95024.987
2018-06-14 10:00:00-04:00,98980.89
2018-06-14 11:00:00-04:00,102596.163
2018-06-14 12:00:00-04:00,105570.266
2018-06-14 13:00:00-04:00,108914.521
2018-06-14 14:00:00-04:00,111285.72
2018-06-14 15:00:00-04:00,113840.126
2018-06-14 16:00:00-04:00,115826.998
2018-06-14 17:00:00-04:00,116425.749
2018-06-14 18:00:00-04:00,114756.959
2018-06-14 19:00:00-04:00,110704.566
2018-06-14 20:00:00-04:00,105911.757
2018-06-14 21:00:00-04:00,102812.579
2018-06-14 22:00:00-04:00,95659.959
2018-06-14 23:00:00-04:00,86634.729
2018-06-15 00:00:00-04:00,79267.16
2018-06-15 01:00:00-04:00,74274.664
2018-06-15 02:00:00-04:00,71123.853
2018-06-15 03:00:00-04:00,69298.064
2018-06-15 04:00:00-04:00,69322.072
2018-06-15 05:00:00-04:00,71554.483
2018-06-15 06:00:00-04:00,76319.359
2018-06-15 07:00:00-04:00,82560.254
2018-06-15 08:00:00-04:00,87783.229
2018-06-15 09:00:00-04:00,92020.173
2018-06-15 10:00:00-04:00,95965.608
2018-06-15 11:00:00-04:00,99038.705
2018-06-15 12:00:00-04:00,102159.98
2018-06-15 13:00:00-04:00,105756.722
2018-06-15 14:00:00-04:00,109369.904
2018-06-15 15:00:00-04:00,112282.386
2018-06-15 16:00:00-04:00,114448.173
2018-06-15 17:00:00-04:00,115008.346
2018-06-15 18:00:00-04:00,112945.75
2018-06-15 19:00:00-04:00,109052.995
2018-06-15 20:00:00-04:00,104332.892
2018-06-15 21:00:00-04:00,101395.305
2018-06-15 22:00:00-04:00,95098.021
2018-06-15 23:00:00-04:00,87099.453
2018-06-16 00:00:00-04:00,80027.975
2018-06-16 01:00:00-04:00,75109.946
2018-06-16 02:00:00-04:00,71693.421
2018-06-16 03:00:00-04:00,69067.3
2018-06-16 04:00:00-04:00,68004.652
2018-06-16 05:00:00-04:00,68057.855
2018-06-16 06:00:00-04:00,68952.349
2018-06-16 07:00:00-04:00,72942.06
2018-06-16 08:00:00-04:00,78951.436
2018-06-16 09:00:00-04:00,85368.51
2018-06-16 10:00:00-04:00,91453.8
2018-06-16 11:00:00-04:00,96670.6
2018-06-16 12:00:00-04:00,101203.699
2018-06-16 13:00:00-04:00,105150.934
2018-06-16 14:00:00-04:00,108673.933
2018-06-16 15:00:00-04:00,112036.782
2018-06-16 16:00:00-04:00,114913.365
2018-06-16 17:00:00-04:00,116274.979
2018-06-16 18:00:00-04:00,115107.317
2018-06-16 19:00:00-04:00,111715.706
2018-06-16 20:00:00-04:00,107769.119
2018-06-16 21:00:00-04:00,105169.039
2018-06-16 22:00:00-04:00,99451.075
2018-06-16 23:00:00-04:00,92148.051
2018-06-17 00:00:00-04:00,85165.699
2018-06-17 01:00:00-04:00,79729.516
2018-06-17 02:00:00-04:00,76045.394
2018-06-17 03:00:00-04:00,73347.644
2018-06-17 04:00:00-04:00,71838.5
2018-06-17 05:00:00-04:00,71023.268
2018-06-17 06:00:00-04:00,70955.172
2018-06-17 07:00:00-04:00,75200.28
2018-06-17 08:00:00-04:00,82991.121
2018-06-17 09:00:00-04:00,91642.199
2018-06-17 10:00:00-04:00,99869.938
2018-06-17 11:00:00-04:00,107213.618
2018-06-17 12:00:00-04:00,113371.625
2018-06-17 13:00:00-04:00,118053.731
2018-06-17 14:00:00-04:00,121629.735
2018-06-17 15:00:00-04:00,124872.015
2018-06-17 16:00:00-04:00,127179.105
2018-06-17 17:00:00-04:00,128038.522
2018-06-17 18:00:00-04:00,126728.547
2018-06-17 19:00:00-04:00,124128.269
2018-06-17 20:00:00-04:00,120868.927
2018-06-17 21:00:00-04:00,118529.926
2018-06-17 22:00:00-04:00,112039.306
2018-06-17 23:00:00-04:00,103069.731
2018-06-18 00:00:00-04:00,95284.987
2018-06-18 01:00:00-04:00,89778.624
2018-06-18 02:00:00-04:00,86048.316
2018-06-18 03:00:00-04:00,83735.954
2018-06-18 04:00:00-04:00,83498.364
2018-06-18 05:00:00-04:00,86476.763
2018-06-18 06:00:00-04:00,91548.334
2018-06-18 07:00:00-04:00,99598.775
2018-06-18 08:00:00-04:00,108042.622
2018-06-18 09:00:00-04:00,116614.139
2018-06-18 10:00:00-04:00,125287.205
2018-06-18 11:00:00-04:00,132806.75
2018-06-18 12:00:00-04:00,138894.8
2018-06-18 13:00:00-04:00,143402.903
2018-06-18 14:00:00-04:00,145950.241
2018-06-18 15:00:00-04:00,147575.76
2018-06-18 16:00:00-04:00,148462.096
2018-06-18 17:00:00-04:00,148031.179
2018-06-18 18:00:00-04:00,146700.254
2018-06-18 19:00:00-04:00,142229.351
2018-06-18 20:00:00-04:00,137083.097
2018-06-18 21:00:00-04:00,131945.518
2018-06-18 22:00:00-04:00,122473.484
2018-06-18 23:00:00-04:00,112146.235
2018-06-19 00:00:00-04:00,103317.757
2018-06-19 01:00:00-04:00,97190.324
2018-06-19 02:00:00-04:00,92889.506
2018-06-19 03:00:00-04:00,90109.939
2018-06-19 04:00:00-04:00,89407.429
2018-06-19 05:00:00-04:00,91874.212
2018-06-19 06:00:00-04:00,96586.405
2018-06-19 07:00:00-04:00,102695.072
2018-06-19 08:00:00-04:00,108810.942
2018-06-19 09:00:00-04:00,114700.624
2018-06-19 10:00:00-04:00,120529.357
2018-06-19 11:00:00-04:00,124726.273
2018-06-19 12:00:00-04:00,128550.231
2018-06-19 13:00:00-04:00,131197.353
2018-06-19 14:00:00-04:00,132336.187
2018-06-19 15:00:00-04:00,132409.782
2018-06-19 16:00:00-04:00,131570.047
2018-06-19 17:00:00-04:00,130297.011
2018-06-19 18:00:00-04:00,127402.07
2018-06-19 19:00:00-04:00,123005.443
2018-06-19 20:00:00-04:00,117928.82
2018-06-19 21:00:00-04:00,114190.804
2018-06-19 22:00:00-04:00,106222.938
2018-06-19 23:00:00-04:00,97070.476
2018-06-20 00:00:00-04:00,89320.544
2018-06-20 01:00:00-04:00,83847.691
2018-06-20 02:00:00-04:00,80076.378
2018-06-20 03:00:00-04:00,78113.555
2018-06-20 04:00:00-04:00,78154.479
2018-06-20 05:00:00-04:00,80708.707
