evaluated_at_utc,evaluated_at_ept,forecast_hour_beginning_utc,forecast_hour_beginning_ept,Forecast
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 19:00:00+00:00,2018-06-03 15:00:00-04:00,28323
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 20:00:00+00:00,2018-06-03 16:00:00-04:00,28724
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 21:00:00+00:00,2018-06-03 17:00:00-04:00,29200
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 22:00:00+00:00,2018-06-03 18:00:00-04:00,29142
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 23:00:00+00:00,2018-06-03 19:00:00-04:00,29168
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-04 00:00:00+00:00,2018-06-03 20:00:00-04:00,29468
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-04 01:00:00+00:00,2018-06-03 21:00:00-04:00,28408
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-04 02:00:00+00:00,2018-06-03 22:00:00-04:00,26360
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-04 03:00:00+00:00,2018-06-03 23:00:00-04:00,24331
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 04:00:00+00:00,2018-06-04 00:00:00-04:00,22971
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 05:00:00+00:00,2018-06-04 01:00:00-04:00,22055
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 06:00:00+00:00,2018-06-04 02:00:00-04:00,21606
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 07:00:00+00:00,2018-06-04 03:00:00-04:00,21485
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 08:00:00+00:00,2018-06-04 04:00:00-04:00,22009
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 09:00:00+00:00,2018-06-04 05:00:00-04:00,23646
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 10:00:00+00:00,2018-06-04 06:00:00-04:00,26212
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 11:00:00+00:00,2018-06-04 07:00:00-04:00,28094
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 12:00:00+00:00,2018-06-04 08:00:00-04:00,28890
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 13:00:00+00:00,2018-06-04 09:00:00-04:00,29365
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 14:00:00+00:00,2018-06-04 10:00:00-04:00,29852
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 15:00:00+00:00,2018-06-04 11:00:00-04:00,30120
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 16:00:00+00:00,2018-06-04 12:00:00-04:00,30337
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 17:00:00+00:00,2018-06-04 13:00:00-04:00,30656
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 18:00:00+00:00,2018-06-04 14:00:00-04:00,30849
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 19:00:00+00:00,2018-06-04 15:00:00-04:00,31216
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 20:00:00+00:00,2018-06-04 16:00:00-04:00,31786
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 21:00:00+00:00,2018-06-04 17:00:00-04:00,32304
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 22:00:00+00:00,2018-06-04 18:00:00-04:00,32117
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-04 23:00:00+00:00,2018-06-04 19:00:00-04:00,31726
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-05 00:00:00+00:00,2018-06-04 20:00:00-04:00,31746
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-05 01:00:00+00:00,2018-06-04 21:00:00-04:00,30495
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-05 02:00:00+00:00,2018-06-04 22:00:00-04:00,27934
2018-06-04 03:45:00+00:00,2018-06-03 23:45:00-04:00,2018-06-05 03:00:00+00:00,2018-06-04 23:00:00-04:00,25498
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 04:00:00+00:00,2018-06-05 00:00:00-04:00,23372
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 05:00:00+00:00,2018-06-05 01:00:00-04:00,22284
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 06:00:00+00:00,2018-06-05 02:00:00-04:00,21666
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 07:00:00+00:00,2018-06-05 03:00:00-04:00,21460
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 08:00:00+00:00,2018-06-05 04:00:00-04:00,21857
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 09:00:00+00:00,2018-06-05 05:00:00-04:00,23372
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 10:00:00+00:00,2018-06-05 06:00:00-04:00,25828
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 11:00:00+00:00,2018-06-05 07:00:00-04:00,27712
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 12:00:00+00:00,2018-06-05 08:00:00-04:00,28716
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 13:00:00+00:00,2018-06-05 09:00:00-04:00,29054
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 14:00:00+00:00,2018-06-05 10:00:00-04:00,29599
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 15:00:00+00:00,2018-06-05 11:00:00-04:00,30045
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 16:00:00+00:00,2018-06-05 12:00:00-04:00,30389
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 17:00:00+00:00,2018-06-05 13:00:00-04:00,30855
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 18:00:00+00:00,2018-06-05 14:00:00-04:00,31143
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 19:00:00+00:00,2018-06-05 15:00:00-04:00,31515
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 20:00:00+00:00,2018-06-05 16:00:00-04:00,32047
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 21:00:00+00:00,2018-06-05 17:00:00-04:00,32390
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 22:00:00+00:00,2018-06-05 18:00:00-04:00,32087
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-05 23:00:00+00:00,2018-06-05 19:00:00-04:00,31595
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-06 00:00:00+00:00,2018-06-05 20:00:00-04:00,31635
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-06 01:00:00+00:00,2018-06-05 21:00:00-04:00,30484
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-06 02:00:00+00:00,2018-06-05 22:00:00-04:00,27903
2018-06-05 03:45:00+00:00,2018-06-04 23:45:00-04:00,2018-06-06 03:00:00+00:00,2018-06-05 23:00:00-04:00,25443
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 04:00:00+00:00,2018-06-06 00:00:00-04:00,23599
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 05:00:00+00:00,2018-06-06 01:00:00-04:00,22514
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 06:00:00+00:00,2018-06-06 02:00:00-04:00,21856
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 07:00:00+00:00,2018-06-06 03:00:00-04:00,21619
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 08:00:00+00:00,2018-06-06 04:00:00-04:00,22001
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 09:00:00+00:00,2018-06-06 05:00:00-04:00,23498
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 10:00:00+00:00,2018-06-06 06:00:00-04:00,25895
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 11:00:00+00:00,2018-06-06 07:00:00-04:00,27913
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 12:00:00+00:00,2018-06-06 08:00:00-04:00,28731
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 13:00:00+00:00,2018-06-06 09:00:00-04:00,29266
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 14:00:00+00:00,2018-06-06 10:00:00-04:00,29720
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 15:00:00+00:00,2018-06-06 11:00:00-04:00,30019
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 16:00:00+00:00,2018-06-06 12:00:00-04:00,30212
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 17:00:00+00:00,2018-06-06 13:00:00-04:00,30482
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 18:00:00+00:00,2018-06-06 14:00:00-04:00,30631
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 19:00:00+00:00,2018-06-06 15:00:00-04:00,30852
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 20:00:00+00:00,2018-06-06 16:00:00-04:00,31242
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 21:00:00+00:00,2018-06-06 17:00:00-04:00,31451
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 22:00:00+00:00,2018-06-06 18:00:00-04:00,31166
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-06 23:00:00+00:00,2018-06-06 19:00:00-04:00,30827
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-07 00:00:00+00:00,2018-06-06 20:00:00-04:00,31001
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-07 01:00:00+00:00,2018-06-06 21:00:00-04:00,30065
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-07 02:00:00+00:00,2018-06-06 22:00:00-04:00,27651
2018-06-06 03:45:00+00:00,2018-06-05 23:45:00-04:00,2018-06-07 03:00:00+00:00,2018-06-06 23:00:00-04:00,25310
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 04:00:00+00:00,2018-06-07 00:00:00-04:00,23341
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 05:00:00+00:00,2018-06-07 01:00:00-04:00,22313
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 06:00:00+00:00,2018-06-07 02:00:00-04:00,21696
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 07:00:00+00:00,2018-06-07 03:00:00-04:00,21525
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 08:00:00+00:00,2018-06-07 04:00:00-04:00,21934
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 09:00:00+00:00,2018-06-07 05:00:00-04:00,23475
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 10:00:00+00:00,2018-06-07 06:00:00-04:00,25915
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 11:00:00+00:00,2018-06-07 07:00:00-04:00,27615
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 12:00:00+00:00,2018-06-07 08:00:00-04:00,28224
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 13:00:00+00:00,2018-06-07 09:00:00-04:00,28518
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 14:00:00+00:00,2018-06-07 10:00:00-04:00,29018
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 15:00:00+00:00,2018-06-07 11:00:00-04:00,29458
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 16:00:00+00:00,2018-06-07 12:00:00-04:00,29957
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 17:00:00+00:00,2018-06-07 13:00:00-04:00,30644
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 18:00:00+00:00,2018-06-07 14:00:00-04:00,31023
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 19:00:00+00:00,2018-06-07 15:00:00-04:00,31548
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 20:00:00+00:00,2018-06-07 16:00:00-04:00,32290
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 21:00:00+00:00,2018-06-07 17:00:00-04:00,32786
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 22:00:00+00:00,2018-06-07 18:00:00-04:00,32419
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-07 23:00:00+00:00,2018-06-07 19:00:00-04:00,31721
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-08 00:00:00+00:00,2018-06-07 20:00:00-04:00,31938
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-08 01:00:00+00:00,2018-06-07 21:00:00-04:00,30717
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-08 02:00:00+00:00,2018-06-07 22:00:00-04:00,27964
2018-06-07 03:45:00+00:00,2018-06-06 23:45:00-04:00,2018-06-08 03:00:00+00:00,2018-06-07 23:00:00-04:00,25453
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 04:00:00+00:00,2018-06-08 00:00:00-04:00,25458
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 05:00:00+00:00,2018-06-08 01:00:00-04:00,24055
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 06:00:00+00:00,2018-06-08 02:00:00-04:00,23229
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 07:00:00+00:00,2018-06-08 03:00:00-04:00,22864
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 08:00:00+00:00,2018-06-08 04:00:00-04:00,23098
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 09:00:00+00:00,2018-06-08 05:00:00-04:00,24295
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 10:00:00+00:00,2018-06-08 06:00:00-04:00,26561
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 11:00:00+00:00,2018-06-08 07:00:00-04:00,28787
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 12:00:00+00:00,2018-06-08 08:00:00-04:00,30291
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 13:00:00+00:00,2018-06-08 09:00:00-04:00,31535
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 14:00:00+00:00,2018-06-08 10:00:00-04:00,32773
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 15:00:00+00:00,2018-06-08 11:00:00-04:00,33868
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 16:00:00+00:00,2018-06-08 12:00:00-04:00,34902
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 17:00:00+00:00,2018-06-08 13:00:00-04:00,35922
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 18:00:00+00:00,2018-06-08 14:00:00-04:00,36724
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 19:00:00+00:00,2018-06-08 15:00:00-04:00,37648
2018-06-08 03:45:00+00:00,2018-06-07 23:45:00-04:00,2018-06-08 20:00:00+00:00,2018-06-08 16:00:00-04:00,38498
